"symbol","company_name","challenge_name","ticker","exchange","quote_currency","currency","quote_scale","sector","industry","challenge_sector","market_cap","market_cap_currency","market_cap_date","market_cap_date_basis","market_cap_precision","retrieved_date","listing_status","flags","notes","alternative_symbols","source_row","quote_url","listing_source_url","classification_source_url","market_cap_source_url","supplemental_source_url"
"CRBN.AS","Corbion N.V.","CORBION","CRBN","Euronext Amsterdam","EUR","EUR","1","Basic Materials","Specialty Chemicals","Biens de consommation courants","1300000000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","153","https://stockanalysis.com/quote/ams/CRBN/","https://query2.finance.yahoo.com/v8/finance/chart/CRBN.AS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=CORBION&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-amsterdam/",""
"CORZ","Core Scientific, Inc.","Core Scientific","CORZ","Nasdaq Global Select Market","USD","USD","1","Technology","Software - Infrastructure","Autres","5424226304","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","154","https://finance.yahoo.com/quote/CORZ/","https://finance.yahoo.com/quote/CORZ/","https://finance.yahoo.com/quote/CORZ/","https://finance.yahoo.com/quote/CORZ/",""
"CRWV","CoreWeave, Inc.","COREWEAVE","CRWV","Nasdaq Global Select Market","USD","USD","1","Technology","Software - Infrastructure","IT","45970571264","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","155","https://finance.yahoo.com/quote/CRWV/","https://finance.yahoo.com/quote/CRWV/","https://finance.yahoo.com/quote/CRWV/","https://finance.yahoo.com/quote/CRWV/",""
"CPAY","Corpay, Inc.","Corpay","CPAY","NYSE","USD","USD","1","Technology","Software — Infrastructure","IT","26412886016","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","156","https://finance.yahoo.com/quote/CPAY/","https://finance.yahoo.com/quote/CPAY/","https://query2.finance.yahoo.com/v1/finance/search?q=Corpay&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/CPAY/",""
"CSGP","CoStar Group, Inc.","CoStar Group","CSGP","Nasdaq Global Select Market","USD","USD","1","Real Estate","Real Estate Services","Immobilier","12301799424","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","157","https://finance.yahoo.com/quote/CSGP/","https://finance.yahoo.com/quote/CSGP/","https://query2.finance.yahoo.com/v1/finance/search?q=CoStar+Group&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/CSGP/",""
"COST","Costco Wholesale Corporation","Costco Wholesale Corp","COST","Nasdaq Global Select Market","USD","USD","1","Consumer Defensive","Discount Stores","Consommation discrétionnaire","396354748416","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","158","https://finance.yahoo.com/quote/COST/","https://finance.yahoo.com/quote/COST/","https://finance.yahoo.com/quote/COST/","https://finance.yahoo.com/quote/COST/",""
"ACA.PA","Crédit Agricole S.A.","CREDIT AGRICOLE","ACA","Euronext Paris","EUR","EUR","1","Financial Services","Banks — Regional","Finance","55857135616","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","159","https://finance.yahoo.com/quote/ACA.PA/","https://finance.yahoo.com/quote/ACA.PA/","https://query2.finance.yahoo.com/v1/finance/search?q=CREDIT+AGRICOLE&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ACA.PA/",""
"CRWD","CrowdStrike Holdings, Inc.","CrowdStrike Holdings","CRWD","Nasdaq Global Select Market","USD","USD","1","Technology","Software - Infrastructure","IT","247136911360","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","160","https://finance.yahoo.com/quote/CRWD/","https://finance.yahoo.com/quote/CRWD/","https://finance.yahoo.com/quote/CRWD/","https://finance.yahoo.com/quote/CRWD/",""
"CSX","CSX Corporation","CSX Corp","CSX","Nasdaq Global Select Market","USD","USD","1","Industrials","Railroads","Industrie","88733548544","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","161","https://finance.yahoo.com/quote/CSX/","https://finance.yahoo.com/quote/CSX/","https://finance.yahoo.com/quote/CSX/","https://finance.yahoo.com/quote/CSX/",""
"CTAC.AS","Ctac N.V.","CTAC","CTAC","Euronext Amsterdam","EUR","EUR","1","Technology","Information Technology Services","IT","40750000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","162","https://stockanalysis.com/quote/ams/CTAC/","https://query2.finance.yahoo.com/v8/finance/chart/CTAC.AS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=CTAC&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-amsterdam/",""
"CTPNV.AS","CTP N.V.","CTP NV","CTPNV","Euronext Amsterdam","EUR","EUR","1","Real Estate","Real Estate — Development","Immobilier","6480000000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","163","https://stockanalysis.com/quote/ams/CTPNV/","https://query2.finance.yahoo.com/v8/finance/chart/CTPNV.AS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=CTP+NV&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-amsterdam/",""
"CW","Curtiss-Wright Corporation","Curtiss-Wright Corp","CW","NYSE","USD","USD","1","Industrials","Aerospace & Defense","Industrie","21054109696","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","164","https://finance.yahoo.com/quote/CW/","https://finance.yahoo.com/quote/CW/","https://finance.yahoo.com/quote/CW/","https://finance.yahoo.com/quote/CW/",""
"CVC.AS","CVC Capital Partners plc","CVC CAPITAL","CVC","Euronext Amsterdam","EUR","EUR","1","Financial Services","Asset Management","Finance","14747838464","EUR","2026-09-14","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","165","https://finance.yahoo.com/quote/CVC.AS/","https://finance.yahoo.com/quote/CVC.AS/","https://finance.yahoo.com/quote/CVC.AS/","https://finance.yahoo.com/quote/CVC.AS/",""
"CVS","CVS Health Corporation","CVS HEALTH Corp","CVS","NYSE","USD","USD","1","Healthcare","Healthcare Plans","Soins de santé","117307162624","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","166","https://finance.yahoo.com/quote/CVS/","https://finance.yahoo.com/quote/CVS/","https://finance.yahoo.com/quote/CVS/","https://finance.yahoo.com/quote/CVS/",""
"DIE.BR","D'Ieteren Group SA","D'IETEREN GROUP","DIE","Euronext Brussels","EUR","EUR","1","Consumer Cyclical","Auto & Truck Dealerships","Consommation discrétionnaire","9013356544","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","167","https://finance.yahoo.com/quote/DIE.BR/","https://finance.yahoo.com/quote/DIE.BR/","https://finance.yahoo.com/quote/DIE.BR/","https://finance.yahoo.com/quote/DIE.BR/",""
"DHR","Danaher Corporation","Danaher Corp","DHR","NYSE","USD","USD","1","Healthcare","Diagnostics & Research","Soins de santé","146474172416","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","168","https://finance.yahoo.com/quote/DHR/","https://finance.yahoo.com/quote/DHR/","https://finance.yahoo.com/quote/DHR/","https://finance.yahoo.com/quote/DHR/",""
"BN.PA","Danone S.A.","DANONE","BN","Euronext Paris","EUR","EUR","1","Consumer Defensive","Packaged Foods","Biens de consommation courants","39238234112","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","169","https://finance.yahoo.com/quote/BN.PA/","https://finance.yahoo.com/quote/BN.PA/","https://query2.finance.yahoo.com/v1/finance/search?q=DANONE&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/BN.PA/",""
"DSY.PA","Dassault Systèmes SE","DASSAULT SYSTEMES","DSY","Euronext Paris","EUR","EUR","1","Technology","Software - Application","IT","27463729152","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","170","https://finance.yahoo.com/quote/DSY.PA/","https://finance.yahoo.com/quote/DSY.PA/","https://finance.yahoo.com/quote/DSY.PA/","https://finance.yahoo.com/quote/DSY.PA/",""
"DDOG","Datadog, Inc.","Datadog","DDOG","Nasdaq Global Select Market","USD","USD","1","Technology","Software - Application","IT","82870919168","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","171","https://finance.yahoo.com/quote/DDOG/","https://finance.yahoo.com/quote/DDOG/","https://finance.yahoo.com/quote/DDOG/","https://finance.yahoo.com/quote/DDOG/",""
"DECB.BR","Deceuninck NV","DECEUNINCK","DECB","Euronext Brussels","EUR","EUR","1","Industrials","Building Products & Equipment","Matériaux","349070000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","172","https://stockanalysis.com/quote/ebr/DECB/","https://query2.finance.yahoo.com/v8/finance/chart/DECB.BR?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=DECEUNINCK&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-brussels/",""
"DE","Deere & Company","Deere & Company","DE","NYSE","USD","USD","1","Industrials","Farm & Heavy Construction Machinery","Industrie","180506116096","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","173","https://finance.yahoo.com/quote/DE/","https://finance.yahoo.com/quote/DE/","https://finance.yahoo.com/quote/DE/","https://finance.yahoo.com/quote/DE/",""
"DELL","Dell Technologies Inc.","Dell Technologies","DELL","NYSE","USD","USD","1","Technology","Computer Hardware","IT","358146932736","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","174","https://finance.yahoo.com/quote/DELL/","https://finance.yahoo.com/quote/DELL/","https://finance.yahoo.com/quote/DELL/","https://finance.yahoo.com/quote/DELL/",""
"DAL","Delta Air Lines, Inc.","Delta Air Lines","DAL","NYSE","USD","USD","1","Industrials","Airlines","Industrie","51209109504","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","175","https://finance.yahoo.com/quote/DAL/","https://finance.yahoo.com/quote/DAL/","https://finance.yahoo.com/quote/DAL/","https://finance.yahoo.com/quote/DAL/",""
"DEME.BR","DEME Group NV","DEME GROUP","DEME","Euronext Brussels","EUR","EUR","1","Industrials","Engineering & Construction","Industrie","4560834560","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","176","https://finance.yahoo.com/quote/DEME.BR/","https://finance.yahoo.com/quote/DEME.BR/","https://query2.finance.yahoo.com/v1/finance/search?q=DEME+GROUP&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/DEME.BR/",""
"DBG.PA","Derichebourg SA","DERICHEBOURG","DBG","Euronext Paris","EUR","EUR","1","Industrials","Waste Management","Autres","1440000000","EUR","2026-09-16","quote date shown by market-cap source","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","177","https://stockanalysis.com/quote/epa/DBG/","https://query2.finance.yahoo.com/v8/finance/chart/DBG.PA?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=DERICHEBOURG&quotesCount=8&newsCount=0","https://stockanalysis.com/quote/epa/DBG/",""
"DBK.DE","Deutsche Bank Aktiengesellschaft","DEUTSCHE BANK AG","DBK","Xetra","EUR","EUR","1","Financial Services","Banks - Regional","Finance","63190773760","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","178","https://finance.yahoo.com/quote/DBK.DE/","https://finance.yahoo.com/quote/DBK.DE/","https://finance.yahoo.com/quote/DBK.DE/","https://finance.yahoo.com/quote/DBK.DE/",""
"DB1.DE","Deutsche Börse AG","DEUTSCHE BOERSE AG","DB1","Xetra","EUR","EUR","1","Financial Services","Financial Data & Stock Exchanges","Finance","49975742464","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","179","https://finance.yahoo.com/quote/DB1.DE/","https://finance.yahoo.com/quote/DB1.DE/","https://finance.yahoo.com/quote/DB1.DE/","https://finance.yahoo.com/quote/DB1.DE/",""
"DWNI.DE","Deutsche Wohnen SE","DEUTSCHE WOHNEN SE","DWNI","Xetra","EUR","EUR","1","Real Estate","Real Estate Services","Immobilier","6700000000","EUR","2026-09-08","quote date shown by market-cap source","rounded source display","2026-09-16","company matched to selected lookup listing","older-cap; rounded-cap","Market-cap source snapshot is over five calendar days old; see source date.","","181","https://stockanalysis.com/quote/etr/DWNI/","https://query2.finance.yahoo.com/v8/finance/chart/DWNI.DE?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=DEUTSCHE+WOHNEN+SE&quotesCount=8&newsCount=0","https://stockanalysis.com/quote/etr/DWNI/",""
"DXCM","DexCom, Inc.","DexCom","DXCM","Nasdaq Global Select Market","USD","USD","1","Healthcare","Medical Devices","Soins de santé","32958687232","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","182","https://finance.yahoo.com/quote/DXCM/","https://finance.yahoo.com/quote/DXCM/","https://finance.yahoo.com/quote/DXCM/","https://finance.yahoo.com/quote/DXCM/",""
"DHL.DE","DHL AG","DEUTSCHE POST AG","DHL","Xetra","EUR","EUR","1","Industrials","Integrated Freight & Logistics","Industrie","62409003008","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","Challenge uses Deutsche Post; current quoted name is DHL.","","180","https://finance.yahoo.com/quote/DHL.DE/","https://finance.yahoo.com/quote/DHL.DE/","https://finance.yahoo.com/quote/DHL.DE/","https://finance.yahoo.com/quote/DHL.DE/",""
"FANG","Diamondback Energy, Inc.","Diamondback Energy","FANG","Nasdaq Global Select Market","USD","USD","1","Energy","Oil & Gas E&P","Énergie","54475046912","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","183","https://finance.yahoo.com/quote/FANG/","https://finance.yahoo.com/quote/FANG/","https://finance.yahoo.com/quote/FANG/","https://finance.yahoo.com/quote/FANG/",""
"D","Dominion Energy, Inc.","Dominion Energy","D","NYSE","USD","USD","1","Utilities","Utilities - Regulated Electric","Services publics","55858692096","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","184","https://finance.yahoo.com/quote/D/","https://finance.yahoo.com/quote/D/","https://finance.yahoo.com/quote/D/","https://finance.yahoo.com/quote/D/",""
"DASH","DoorDash, Inc.","DoorDash","DASH","Nasdaq Global Select Market","USD","USD","1","Consumer Cyclical","Internet Retail","IT","85255700480","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","185","https://finance.yahoo.com/quote/DASH/","https://finance.yahoo.com/quote/DASH/","https://finance.yahoo.com/quote/DASH/","https://finance.yahoo.com/quote/DASH/",""
"DSFIR.AS","DSM-Firmenich AG","DSM FIRMENICH AG","DSFIR","Euronext Amsterdam","EUR","EUR","1","Basic Materials","Specialty Chemicals","Matériaux","22547884032","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","186","https://finance.yahoo.com/quote/DSFIR.AS/","https://finance.yahoo.com/quote/DSFIR.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=DSM+FIRMENICH+AG&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/DSFIR.AS/",""
"DUK","Duke Energy Corporation","Duke Energy Corp","DUK","NYSE","USD","USD","1","Utilities","Utilities - Regulated Electric","Services publics","91817730048","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","187","https://finance.yahoo.com/quote/DUK/","https://finance.yahoo.com/quote/DUK/","https://finance.yahoo.com/quote/DUK/","https://finance.yahoo.com/quote/DUK/",""
"EOAN.DE","E.ON SE","E.ON SE","EOAN","Xetra","EUR","EUR","1","Utilities","Utilities - Diversified","Services publics","46160023552","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","188","https://finance.yahoo.com/quote/EOAN.DE/","https://finance.yahoo.com/quote/EOAN.DE/","https://finance.yahoo.com/quote/EOAN.DE/","https://finance.yahoo.com/quote/EOAN.DE/",""
"EMN","Eastman Chemical Company","Eastman Chemical Company","EMN","NYSE","USD","USD","1","Basic Materials","Specialty Chemicals","Matériaux","7439233536","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","189","https://finance.yahoo.com/quote/EMN/","https://finance.yahoo.com/quote/EMN/","https://query2.finance.yahoo.com/v1/finance/search?q=Eastman+Chemical+Company&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/EMN/",""
"EBUS.AS","Ebusco Holding N.V.","EBUSCO HOLDING N.V.","EBUS","Euronext Amsterdam","EUR","EUR","1","Consumer Cyclical","Auto Manufacturers","Consommation discrétionnaire","44190000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","190","https://stockanalysis.com/quote/ams/EBUS/","https://query2.finance.yahoo.com/v8/finance/chart/EBUS.AS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=EBUSCO+HOLDING+N.V.&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-amsterdam/",""
"ECL","Ecolab Inc.","Ecolab","ECL","NYSE","USD","USD","1","Basic Materials","Specialty Chemicals","Matériaux","76832464896","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","191","https://finance.yahoo.com/quote/ECL/","https://finance.yahoo.com/quote/ECL/","https://query2.finance.yahoo.com/v1/finance/search?q=Ecolab&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ECL/",""
"ECONB.BR","Econocom Group SE","ECONOCOM GROUP","ECONB","Euronext Brussels","EUR","EUR","1","Technology","Information Technology Services","IT","223290000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","192","https://stockanalysis.com/quote/ebr/ECONB/","https://query2.finance.yahoo.com/v8/finance/chart/ECONB.BR?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=ECONOCOM+GROUP&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-brussels/",""
"EDEN.PA","Edenred SE","EDENRED","EDEN","Euronext Paris","EUR","EUR","1","Financial Services","Credit Services","Finance","6620000000","EUR","2026-09-14","quote date shown by market-cap source","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","193","https://stockanalysis.com/quote/epa/EDEN/","https://query2.finance.yahoo.com/v8/finance/chart/EDEN.PA?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=EDENRED&quotesCount=8&newsCount=0","https://stockanalysis.com/quote/epa/EDEN/",""
"EDPR.LS","EDP Renewables, S.A.","EDP RENOVAVEIS S.A.","EDPR","Euronext Lisbon","EUR","EUR","1","Utilities","Utilities — Renewable","Services publics","13010000000","EUR","2026-09-16","quote date shown by market-cap source","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","194","https://stockanalysis.com/quote/eli/EDPR/","https://query2.finance.yahoo.com/v8/finance/chart/EDPR.LS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=EDPR.LS&quotesCount=3&newsCount=0","https://stockanalysis.com/quote/eli/EDPR/",""
"EKOP.BR","Ekopak NV","EKOPAK NV","EKOP","Euronext Brussels","EUR","EUR","1","Utilities","Utilities — Regulated Water","Industrie","64760000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","195","https://stockanalysis.com/quote/ebr/EKOP/","https://query2.finance.yahoo.com/v8/finance/chart/EKOP.BR?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=EKOPAK+NV&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-brussels/",""
"LLY","Eli Lilly and Company","Eli Lilly & Co","LLY","NYSE","USD","USD","1","Healthcare","Drug Manufacturers - General","Soins de santé","1014641131520","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","196","https://finance.yahoo.com/quote/LLY/","https://finance.yahoo.com/quote/LLY/","https://finance.yahoo.com/quote/LLY/","https://finance.yahoo.com/quote/LLY/",""
"ELI.BR","Elia Group SA/NV","ELIA GROUP","ELI","Euronext Brussels","EUR","EUR","1","Utilities","Utilities - Regulated Electric","Services publics","12988107776","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","197","https://finance.yahoo.com/quote/ELI.BR/","https://finance.yahoo.com/quote/ELI.BR/","https://finance.yahoo.com/quote/ELI.BR/","https://finance.yahoo.com/quote/ELI.BR/",""
"EMR","Emerson Electric Co.","Emerson Electric Co","EMR","NYSE","USD","USD","1","Industrials","Specialty Industrial Machinery","Industrie","81343971328","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","198","https://finance.yahoo.com/quote/EMR/","https://finance.yahoo.com/quote/EMR/","https://finance.yahoo.com/quote/EMR/","https://finance.yahoo.com/quote/EMR/",""
"ENEL.MI","Enel SpA","ENEL S.P.A.","ENEL","Borsa Italiana (Euronext Milan)","EUR","EUR","1","Utilities","Utilities - Diversified","Autres","88274059264","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","199","https://finance.yahoo.com/quote/ENEL.MI/","https://finance.yahoo.com/quote/ENEL.MI/","https://finance.yahoo.com/quote/ENEL.MI/","https://finance.yahoo.com/quote/ENEL.MI/",""
"ENGI.PA","Engie SA","ENGIE","ENGI","Euronext Paris","EUR","EUR","1","Utilities","Utilities - Diversified","Services publics","61152432128","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","200","https://finance.yahoo.com/quote/ENGI.PA/","https://finance.yahoo.com/quote/ENGI.PA/","https://finance.yahoo.com/quote/ENGI.PA/","https://finance.yahoo.com/quote/ENGI.PA/",""
"ENPH","Enphase Energy, Inc.","Enphase Energy","ENPH","Nasdaq Global Market","USD","USD","1","Technology","Solar","Énergie","4699063808","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","201","https://finance.yahoo.com/quote/ENPH/","https://finance.yahoo.com/quote/ENPH/","https://finance.yahoo.com/quote/ENPH/","https://finance.yahoo.com/quote/ENPH/",""
"ENVI.AS","Envipco Holding N.V.","ENVIPCO","ENVI","Euronext Amsterdam","EUR","EUR","1","Industrials","Pollution & Treatment Controls","Industrie","214790000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","202","https://stockanalysis.com/quote/ams/ENVI/","https://query2.finance.yahoo.com/v8/finance/chart/ENVI.AS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=ENVIPCO&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-amsterdam/",""
"EOG","EOG Resources, Inc.","EOG Resources","EOG","NYSE","USD","USD","1","Energy","Oil & Gas E&P","Énergie","76020006912","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","203","https://finance.yahoo.com/quote/EOG/","https://finance.yahoo.com/quote/EOG/","https://finance.yahoo.com/quote/EOG/","https://finance.yahoo.com/quote/EOG/",""
"EQIX","Equinix, Inc.","Equinix","EQIX","Nasdaq Global Select Market","USD","USD","1","Real Estate","REIT - Specialty","IT","100266221568","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","204","https://finance.yahoo.com/quote/EQIX/","https://finance.yahoo.com/quote/EQIX/","https://finance.yahoo.com/quote/EQIX/","https://finance.yahoo.com/quote/EQIX/",""
"EQNR.OL","Equinor ASA","EQUINOR ASA","EQNR","Oslo Bors (Euronext Oslo)","NOK","NOK","1","Energy","Oil & Gas Integrated","Énergie","998776635392","NOK","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","205","https://finance.yahoo.com/quote/EQNR.OL/","https://finance.yahoo.com/quote/EQNR.OL/","https://query2.finance.yahoo.com/v1/finance/search?q=EQUINOR+ASA&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/EQNR.OL/",""
"EL.PA","EssilorLuxottica Société anonyme","ESSILORLUXOTTICA","EL","Euronext Paris","EUR","EUR","1","Healthcare","Medical Instruments & Supplies","Soins de santé","66561523712","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","206","https://finance.yahoo.com/quote/EL.PA/","https://finance.yahoo.com/quote/EL.PA/","https://finance.yahoo.com/quote/EL.PA/","https://finance.yahoo.com/quote/EL.PA/",""
"ETSY","Etsy, Inc.","Etsy","ETSY","NYSE","USD","USD","1","Consumer Cyclical","Internet Retail","Consommation discrétionnaire","6742286848","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","207","https://finance.yahoo.com/quote/ETSY/","https://finance.yahoo.com/quote/ETSY/","https://finance.yahoo.com/quote/ETSY/","https://finance.yahoo.com/quote/ETSY/",""
"ECMPA.AS","Eurocommercial Properties N.V.","EUROCOMMERCIAL PROPERTIES","ECMPA","Euronext Amsterdam","EUR","EUR","1","Real Estate","REIT - Retail","Immobilier","1480000000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","208","https://finance.yahoo.com/quote/ECMPA.AS/","https://finance.yahoo.com/quote/ECMPA.AS/","https://finance.yahoo.com/quote/ECMPA.AS/","https://stockanalysis.com/list/euronext-amsterdam/",""
"ERF.PA","Eurofins Scientific SE","EUROFINS SCIENT.","ERF","Euronext Paris","EUR","EUR","1","Healthcare","Diagnostics & Research","Soins de santé","12860600320","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","209","https://finance.yahoo.com/quote/ERF.PA/","https://finance.yahoo.com/quote/ERF.PA/","https://finance.yahoo.com/quote/ERF.PA/","https://finance.yahoo.com/quote/ERF.PA/",""
"ENX.PA","Euronext N.V.","EURONEXT","ENX","Euronext Paris","EUR","EUR","1","Financial Services","Financial Data & Stock Exchanges","Autres","16020000000","EUR","2026-09-16","quote date shown by market-cap source","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","210","https://finance.yahoo.com/quote/ENX.PA/","https://finance.yahoo.com/quote/ENX.PA/","https://finance.yahoo.com/quote/ENX.PA/","https://stockanalysis.com/quote/epa/ENX/",""
"EG","Everest Group, Ltd.","Everest Group Ltd","EG","NYSE","USD","USD","1","Financial Services","Insurance - Reinsurance","Finance","14484734976","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","211","https://finance.yahoo.com/quote/EG/","https://finance.yahoo.com/quote/EG/","https://finance.yahoo.com/quote/EG/","https://finance.yahoo.com/quote/EG/",""
