"symbol","company_name","challenge_name","ticker","exchange","quote_currency","currency","quote_scale","sector","industry","challenge_sector","market_cap","market_cap_currency","market_cap_date","market_cap_date_basis","market_cap_precision","retrieved_date","listing_status","flags","notes","alternative_symbols","source_row","quote_url","listing_source_url","classification_source_url","market_cap_source_url","supplemental_source_url"
"VNA.DE","Vonovia SE","VONOVIA SE","VNA","Xetra","EUR","EUR","1","Real Estate","Real Estate Services","Immobilier","15280000000","EUR","2026-09-16","quote date shown by market-cap source","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","546","https://stockanalysis.com/quote/etr/VNA/","https://query2.finance.yahoo.com/v8/finance/chart/VNA.DE?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=VONOVIA+SE&quotesCount=8&newsCount=0","https://stockanalysis.com/quote/etr/VNA/",""
"VONN.SW","Vontobel Holding AG","VONTOBEL HOLDING AG","VONN","SIX Swiss Exchange","CHF","CHF","1","Financial Services","Asset Management","Finance","5130000000","CHF","2026-09-11","quote date shown by market-cap source","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","547","https://stockanalysis.com/quote/swx/VONN/","https://query2.finance.yahoo.com/v8/finance/chart/VONN.SW?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=VONTOBEL+HOLDING+AG&quotesCount=8&newsCount=0","https://stockanalysis.com/quote/swx/VONN/",""
"VOYA","Voya Financial, Inc.","Voya Financial","VOYA","NYSE","USD","USD","1","Financial Services","Financial Conglomerates","Autres","9085001728","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","549","https://finance.yahoo.com/quote/VOYA/","https://finance.yahoo.com/quote/VOYA/","https://query2.finance.yahoo.com/v1/finance/search?q=Voya+Financial&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/VOYA/",""
"WMT","Walmart Inc.","Walmart","WMT","Nasdaq Global Select Market","USD","USD","1","Consumer Defensive","Discount Stores","Consommation discrétionnaire","855493509120","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","550","https://finance.yahoo.com/quote/WMT/","https://finance.yahoo.com/quote/WMT/","https://finance.yahoo.com/quote/WMT/","https://finance.yahoo.com/quote/WMT/",""
"WDP.BR","Warehouses De Pauw SA","WAREHOUSES DE PAUW","WDP","Euronext Brussels","EUR","EUR","1","Real Estate","REIT — Industrial","Immobilier","5000000000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","552","https://stockanalysis.com/quote/ebr/WDP/","https://query2.finance.yahoo.com/v8/finance/chart/WDP.BR?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=WAREHOUSES+DE+PAUW&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-brussels/",""
"WEB.BR","Warehouses Estates Belgium S.C.A.","WAREHOUSES ESTATES BELGIUM - W.E.B.","WEB","Euronext Brussels","EUR","EUR","1","Real Estate","REIT — Diversified","Immobilier","129960000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","553","https://stockanalysis.com/quote/ebr/WEB/","https://query2.finance.yahoo.com/v8/finance/chart/WEB.BR?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=WEB.BR&quotesCount=3&newsCount=0","https://stockanalysis.com/list/euronext-brussels/",""
"WBD","Warner Bros. Discovery, Inc.","Warner Bros Discovery","WBD","Nasdaq Global Select Market","USD","USD","1","Communication Services","Entertainment","Consommation discrétionnaire","70375325696","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","554","https://finance.yahoo.com/quote/WBD/","https://finance.yahoo.com/quote/WBD/","https://finance.yahoo.com/quote/WBD/","https://finance.yahoo.com/quote/WBD/",""
"WM","Waste Management, Inc.","Waste Management","WM","NYSE","USD","USD","1","Industrials","Waste Management","Industrie","85539053568","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","555","https://finance.yahoo.com/quote/WM/","https://finance.yahoo.com/quote/WM/","https://finance.yahoo.com/quote/WM/","https://finance.yahoo.com/quote/WM/",""
"WFC","Wells Fargo & Company","Wells Fargo & Co","WFC","NYSE","USD","USD","1","Financial Services","Banks - Diversified","Finance","263239139328","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","556","https://finance.yahoo.com/quote/WFC/","https://finance.yahoo.com/quote/WFC/","https://finance.yahoo.com/quote/WFC/","https://finance.yahoo.com/quote/WFC/",""
"WELL","Welltower Inc.","Welltower","WELL","NYSE","USD","USD","1","Real Estate","REIT - Healthcare Facilities","Immobilier","168974139392","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","557","https://finance.yahoo.com/quote/WELL/","https://finance.yahoo.com/quote/WELL/","https://finance.yahoo.com/quote/WELL/","https://finance.yahoo.com/quote/WELL/",""
"WEHB.BR","Wereldhave Belgium","WERELDHAVE BELGIUM","WEHB","Euronext Brussels","EUR","EUR","1","Real Estate","REIT — Retail","Immobilier","569420000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","558","https://stockanalysis.com/quote/ebr/WEHB/","https://query2.finance.yahoo.com/v8/finance/chart/WEHB.BR?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=WERELDHAVE+BELGIUM&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-brussels/",""
"WHA.AS","Wereldhave N.V.","WERELDHAVE Gewone aandelen","WHA","Euronext Amsterdam","EUR","EUR","1","Real Estate","REIT — Retail","Immobilier","841420000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","559","https://stockanalysis.com/quote/ams/WHA/","https://query2.finance.yahoo.com/v8/finance/chart/WHA.AS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=WERELDHAVE+Gewone+aandelen&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-amsterdam/",""
"WHR","Whirlpool Corporation","Whirlpool Corp","WHR","NYSE","USD","USD","1","Consumer Cyclical","Furnishings, Fixtures & Appliances","Consommation discrétionnaire","2113763712","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","560","https://finance.yahoo.com/quote/WHR/","https://finance.yahoo.com/quote/WHR/","https://finance.yahoo.com/quote/WHR/","https://finance.yahoo.com/quote/WHR/",""
"WKL.AS","Wolters Kluwer N.V.","WOLTERS KLUWER","WKL","Euronext Amsterdam","EUR","EUR","1","Industrials","Specialty Business Services","IT","15340000000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","562","https://stockanalysis.com/quote/ams/WKL/","https://query2.finance.yahoo.com/v8/finance/chart/WKL.AS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=WOLTERS+KLUWER&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-amsterdam/",""
"WDAY","Workday, Inc.","Workday","WDAY","Nasdaq Global Select Market","USD","USD","1","Technology","Software - Application","IT","45250158592","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","563","https://finance.yahoo.com/quote/WDAY/","https://finance.yahoo.com/quote/WDAY/","https://finance.yahoo.com/quote/WDAY/","https://finance.yahoo.com/quote/WDAY/",""
"XEL","Xcel Energy Inc.","Xcel Energy","XEL","Nasdaq Global Select Market","USD","USD","1","Utilities","Utilities - Regulated Electric","Services publics","45417160704","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","564","https://finance.yahoo.com/quote/XEL/","https://finance.yahoo.com/quote/XEL/","https://finance.yahoo.com/quote/XEL/","https://finance.yahoo.com/quote/XEL/",""
"XIOR.BR","Xior Student Housing NV","XIOR","XIOR","Euronext Brussels","EUR","EUR","1","Real Estate","REIT — Residential","Immobilier","1190000000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","565","https://stockanalysis.com/quote/ebr/XIOR/","https://query2.finance.yahoo.com/v8/finance/chart/XIOR.BR?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=XIOR&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-brussels/",""
"ZAL.DE","Zalando SE","ZALANDO SE","ZAL","Xetra","EUR","EUR","1","Consumer Cyclical","Internet Retail","Consommation discrétionnaire","5245902336","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","566","https://finance.yahoo.com/quote/ZAL.DE/","https://finance.yahoo.com/quote/ZAL.DE/","https://finance.yahoo.com/quote/ZAL.DE/","https://finance.yahoo.com/quote/ZAL.DE/",""
"ZS","Zscaler, Inc.","Zscaler","ZS","Nasdaq Global Select Market","USD","USD","1","Technology","Software - Infrastructure","IT","31238021120","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","567","https://finance.yahoo.com/quote/ZS/","https://finance.yahoo.com/quote/ZS/","https://finance.yahoo.com/quote/ZS/","https://finance.yahoo.com/quote/ZS/",""
