"challenge_name","company_name","ticker","exchange","yahoo_symbol","quote_url","quote_currency","sector","industry","market_cap","market_cap_currency","market_cap_source_date","market_cap_date_basis","market_cap_precision","data_retrieved_date","challenge_sector","listing_match_status","notes","alternative_yahoo_symbols","listing_source_url","classification_source_url","market_cap_source_url","supplemental_source_url"
"Hewlett Packard Enterprise Company","Hewlett Packard Enterprise Company","HPE","NYSE","HPE","https://finance.yahoo.com/quote/HPE/","USD","Technology","Communication Equipment",75240710144,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/HPE/","https://finance.yahoo.com/quote/HPE/","https://finance.yahoo.com/quote/HPE/",""
"Hilton Worldwide Holdings","Hilton Worldwide Holdings Inc.","HLT","NYSE","HLT","https://finance.yahoo.com/quote/HLT/","USD","Consumer Cyclical","Lodging",68786593792,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Consommation discrétionnaire","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/HLT/","https://finance.yahoo.com/quote/HLT/","https://finance.yahoo.com/quote/HLT/",""
"HOLCIM LTD.","Holcim AG","HOLN","SIX Swiss Exchange","HOLN.SW","https://finance.yahoo.com/quote/HOLN.SW/","CHF","Basic Materials","Building Materials",37866946560,"CHF","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Matériaux","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/HOLN.SW/","https://finance.yahoo.com/quote/HOLN.SW/","https://finance.yahoo.com/quote/HOLN.SW/",""
"Holland Colours","Holland Colours N.V.","HOLCO","Euronext Amsterdam","HOLCO.AS","https://stockanalysis.com/quote/ams/HOLCO/","EUR","Basic Materials","Specialty Chemicals",68830000,"EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","Autres","company matched to selected lookup listing","","","https://query2.finance.yahoo.com/v8/finance/chart/HOLCO.AS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=Holland+Colours&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-amsterdam/",""
"Home Depot","The Home Depot, Inc.","HD","NYSE","HD","https://finance.yahoo.com/quote/HD/","USD","Consumer Cyclical","Home Improvement Retail",301771161600,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Consommation discrétionnaire","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/HD/","https://finance.yahoo.com/quote/HD/","https://finance.yahoo.com/quote/HD/",""
"HOME INVEST BELGIUM","Home Invest Belgium S.A.","HOMI","Euronext Brussels","HOMI.BR","https://stockanalysis.com/quote/ebr/HOMI/","EUR","Real Estate","REIT—Residential",359610000,"EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","Immobilier","company matched to selected lookup listing","","","https://query2.finance.yahoo.com/v8/finance/chart/HOMI.BR?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=HOME+INVEST+BELGIUM&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-brussels/",""
"Honeywell International Inc","Honeywell International Inc.","HON","Nasdaq Global Select Market","HON","https://finance.yahoo.com/quote/HON/","USD","Industrials","Conglomerates",65815760896,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/HON/","https://finance.yahoo.com/quote/HON/","https://finance.yahoo.com/quote/HON/",""
"HP","HP Inc.","HPQ","NYSE","HPQ","https://finance.yahoo.com/quote/HPQ/","USD","Technology","Computer Hardware",29488566272,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/HPQ/","https://finance.yahoo.com/quote/HPQ/","https://finance.yahoo.com/quote/HPQ/",""
"HSBC HOLDINGS PLC","HSBC Holdings plc","HSBA","London Stock Exchange","HSBA.L","https://stockanalysis.com/quote/lon/HSBA/","GBp","Financial Services","Banks—Diversified",257670000000,"GBP","2026-09-16","quote date shown by market-cap source","rounded source display","2026-09-16","Autres","company matched to selected lookup listing","Quote currency is pence; market capitalization is in pounds (GBP).","","https://query2.finance.yahoo.com/v8/finance/chart/HSBA.L?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=HSBC+HOLDINGS+PLC&quotesCount=8&newsCount=0","https://stockanalysis.com/quote/lon/HSBA/",""
"HYDRATEC Gewone aandelen","Hydratec Industries NV","HYDRA","Euronext Amsterdam","HYDRA.AS","https://finance.yahoo.com/quote/HYDRA.AS/","EUR","Industrials","Farm & Heavy Construction Machinery",363957440,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Autres","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/HYDRA.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=HYDRATEC+Gewone+aandelen&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/HYDRA.AS/",""
